rollout_id,rank,mb_idx,total_tokens
11,0,24,8343
11,0,25,8315
11,0,26,8395
11,0,27,8255
11,0,28,7317
11,0,29,4434
11,1,0,7286
11,1,1,6323
11,1,2,7387
11,1,3,6960
11,1,4,8292
11,1,5,8347
11,1,6,6788
11,1,7,8347
11,1,8,8467
11,1,9,8467
11,1,10,8467
11,1,11,5538
11,1,12,7960
11,1,13,6017
11,1,14,8325
11,1,15,8325
11,1,16,5284
11,1,17,4681
11,1,18,8349
11,1,19,8349
11,1,20,8344
11,1,21,8344
11,1,22,8343
11,1,23,8229
11,1,24,8315
11,1,25,8315
11,1,26,4734
11,1,27,7638
11,1,28,8035
11,1,29,8395
11,2,0,8292
11,2,1,8292
11,2,2,8313
11,2,3,7281
11,2,4,8347
11,2,5,8006
11,2,6,8347
11,2,7,8467
11,2,8,8467
11,2,9,8467
11,2,10,7856
11,2,11,6626
11,2,12,6092
11,2,13,4864
11,2,14,4558
11,2,15,5270
11,2,16,8325
11,2,17,8325
11,2,18,5534
11,2,19,7354
11,2,20,8349
11,2,21,8349
11,2,22,8344
11,2,23,8344
11,2,24,8343
11,2,25,6983
11,2,26,8315
11,2,27,7793
11,2,28,6352
11,2,29,8395
11,3,0,7795
11,3,1,7907
11,3,2,8292
11,3,3,8185
11,3,4,7288
11,3,5,8467
11,3,6,8953
11,3,7,8310
11,3,8,5093
11,3,9,6936
11,3,10,5605
11,3,11,6438
11,3,12,8325
11,3,13,8349
11,3,14,8349
11,3,15,8344
11,3,16,8344
11,3,17,8343
11,3,18,8244
11,3,19,8343
11,3,20,6890
11,3,21,8315
11,3,22,8315
11,3,23,5082
11,3,24,8395
11,3,25,7183
11,3,26,6225
11,3,27,8395
11,3,28,8395
11,3,29,3545
12,0,0,7288
12,0,1,8561
12,0,2,8561
12,0,3,8561
12,0,4,9069
12,0,5,8400
12,0,6,8400
12,0,7,8306
12,0,8,8306
12,0,9,8399
12,0,10,7687
12,0,11,6724
12,0,12,7953
12,0,13,8327
12,0,14,8338
12,0,15,8311
12,0,16,6767
12,0,17,8735
12,0,18,8058
12,0,19,8945
12,0,20,8315
12,0,21,8315
12,0,22,9188
12,0,23,6419
12,1,0,8333
12,1,1,8561
12,1,2,8984
12,1,3,8400
12,1,4,8400
12,1,5,8306
12,1,6,8306
12,1,7,7790
12,1,8,8092
12,1,9,6913
12,1,10,7310
12,1,11,8338
12,1,12,8311
12,1,13,7955
12,1,14,9134
12,1,15,8475
12,1,16,9192
12,1,17,8681
12,1,18,8315
12,1,19,8315
12,1,20,8604
12,1,21,8350
12,1,22,6291
12,1,23,6577
12,2,0,9198
12,2,1,8832
12,2,2,7094
12,2,3,8333
12,2,4,6571
12,2,5,8561
12,2,6,6707
12,2,7,8400
12,2,8,8400
12,2,9,8306
12,2,10,8306
12,2,11,8621
12,2,12,7662
12,2,13,8338
12,2,14,8058
12,2,15,7847
12,2,16,8311
12,2,17,9095
12,2,18,6836
12,2,19,8461
12,2,20,8985
12,2,21,8315
12,2,22,8315
12,2,23,8350
12,3,0,9160
12,3,1,6749
12,3,2,8561
12,3,3,8561
12,3,4,8227
12,3,5,8453
12,3,6,7002
12,3,7,8400
12,3,8,8400
12,3,9,8306
12,3,10,8306
12,3,11,9211
12,3,12,7964
12,3,13,7455
12,3,14,7825
12,3,15,8338
12,3,16,8338
12,3,17,8311
12,3,18,8834
12,3,19,9021
12,3,20,8315
12,3,21,8315
12,3,22,8674
12,3,23,4140
13,0,0,8326
13,0,1,8326
13,0,2,8313
13,0,3,8993
13,0,4,6728
13,0,5,6490
13,0,6,8865
13,0,7,5267
13,0,8,7836
13,0,9,7494
13,0,10,8399
13,0,11,8399
13,0,12,8316
13,0,13,9072
13,0,14,8316
13,0,15,8477
13,0,16,7157
13,0,17,5898
13,0,18,8386
13,0,19,7616
13,0,20,8333
13,0,21,5843
13,0,22,6916
13,0,23,8107
13,0,24,5508
13,0,25,8291
13,0,26,7259
13,0,27,5713
13,1,0,8326
13,1,1,8326
13,1,2,8313
13,1,3,7575
13,1,4,8349
13,1,5,8076
13,1,6,8342
13,1,7,8915
13,1,8,6915
13,1,9,8719
13,1,10,8313
13,1,11,7808
13,1,12,6374
13,1,13,8399
13,1,14,8399
13,1,15,8910
13,1,16,9050
13,1,17,7132
13,1,18,5726
13,1,19,8282
13,1,20,7475
13,1,21,7184
13,1,22,6632
13,1,23,8331
13,1,24,8291
13,1,25,5828
13,1,26,5531
13,1,27,3122
13,2,0,8326
13,2,1,8313
13,2,2,8313
13,2,3,8349
13,2,4,8349
13,2,5,8980
13,2,6,7868
13,2,7,8399
13,2,8,8399
13,2,9,8316
13,2,10,8663
13,2,11,6335
13,2,12,7532
13,2,13,6802
13,2,14,6542
13,2,15,9142
13,2,16,6920
13,2,17,8807
13,2,18,5787
13,2,19,5654
13,2,20,7402
13,2,21,8331
13,2,22,8128
13,2,23,7768
13,2,24,8291
13,2,25,5772
13,2,26,7212
13,2,27,3943
13,3,0,8326
13,3,1,8326
13,3,2,8326
13,3,3,7261
13,3,4,8313
13,3,5,7792
13,3,6,8349
13,3,7,6070
13,3,8,8349
